id,symptom,symptom_text,solution
296,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
297,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
298,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
299,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
300,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
301,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
302,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
303,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
304,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
305,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
306,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
307,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
308,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
309,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
310,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
311,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
312,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
313,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
314,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
315,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
316,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
317,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
318,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
319,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
320,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
321,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
322,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
323,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
324,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
325,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
326,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
327,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
328,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
329,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
330,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
331,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
332,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
333,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
334,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
335,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
336,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
337,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
338,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
339,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
340,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
341,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
342,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
343,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
344,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
345,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
346,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
347,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
348,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
349,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
350,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
351,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
352,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
353,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
354,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
355,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
356,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
357,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
358,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
359,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
360,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
361,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
362,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
363,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
364,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
365,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
366,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
367,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
368,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
369,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
370,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
371,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
372,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
373,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
374,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
375,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
376,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
377,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
378,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
379,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
380,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
381,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
382,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
383,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
384,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
385,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
386,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
387,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
388,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
389,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
390,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
391,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
392,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
393,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
394,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
395,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
396,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
397,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
398,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
399,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
400,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
401,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
402,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
403,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
404,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
405,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
406,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
407,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
408,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
409,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
410,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
411,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
412,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
413,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
414,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
415,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
416,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
417,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
418,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
419,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
420,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
421,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
422,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
423,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
424,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
425,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
426,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
427,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
428,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
429,body pain,Enakku innaiku body pain irukku,"Paracetamol eduthukkonga, rest pannunga"
430,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
431,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
432,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
433,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
434,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
435,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
436,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
437,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
438,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
439,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
440,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
441,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
442,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
443,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
444,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
445,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
446,skin rash,Enakku innaiku skin rash irukku,"Doctor kitte consult pannunga, avoid scratching"
447,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
448,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
449,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
450,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
451,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
452,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
453,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
454,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
455,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
456,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
457,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
458,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
459,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
460,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
461,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
462,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
463,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
464,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
465,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
466,sore throat,Enakku innaiku sore throat irukku,"Ginger tea kudikkonga, salt water gargle pannunga"
467,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
468,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
469,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
470,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
471,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
472,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
473,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
474,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
475,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
476,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
477,tiredness,Enakku innaiku tiredness irukku,"Proper sleep eduthukkonga, fruits saapdunga"
478,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
479,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
480,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
481,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
482,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
483,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
484,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
485,stomach pain,Enakku innaiku stomach pain irukku,"Light ah food saapdunga, doctor kitte consult pannunga"
486,cough,Enakku innaiku cough irukku,"Honey with hot water kudikkonga, avoid cold items"
487,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
488,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
489,diarrhea,Enakku innaiku diarrhea irukku,"ORS and more water kudikkonga, spicy food avoid pannunga"
490,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
491,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
492,chest pain,Enakku innaiku chest pain irukku,"Immediate ah doctor ku poonga, serious aana ambulance ku call pannunga"
493,throat pain,Enakku innaiku throat pain irukku,"Salt water gargle pannunga, warm water kudikkonga"
494,vomiting,Enakku innaiku vomiting irukku,"ORS solution kudikkonga, light diet follow pannunga"
495,headache,Enakku innaiku headache irukku,"Panadol tablet eduthukkonga, konjam rest pannunga"
496,fever,Enakku innaiku fever irukku,"Take rest, drink warm water, paracetamol eduthukkonga"
497,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
498,weakness,Enakku innaiku weakness irukku,"Iron-rich food saapdunga, doctor consult pannunga"
499,back pain,Enakku innaiku back pain irukku,"Bed rest pannunga, pain relief ointment use pannunga"
500,cold,Enakku innaiku cold irukku,"Steam eduthukkonga, warm water kudikkonga"
